,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
258,University,53,Crossroads,105,L,3/13,3:00p,Crossroads High School,11800 Texas Ave Los,Angeles,CA,90025,Santa Monica,CA
259,University,85,Hamilton,53,W,4/11,3:00p,Hamilton High School,11800 Texas Ave Los,Angeles,CA,90025,Los Angeles,CA
260,University,34,Venice,158,L,4/23,3:00p,Venice High School,11800 Texas Ave Los,Angeles,CA,90025,Los Angeles,CA
261,University,35,Palisades,167,L,4/27,2:00p,University High School,11800 Texas Ave Los,Angeles,CA,90025,Pacific Palisades,CA
262,Venice,158,University,34,W,4/23,3:00p,Venice High School,13000 Venice Blvd Los,Angeles,CA,90066,Los Angeles,CA
263,Windsor,40,Ukiah,124,L,3/6,4:00p,Windsor High School,8695 Windsor Rd,Windsor,CA,95492,Ukiah,CA
264,Windsor,32,Santa Rosa,135,L,3/13,3:30p,Windsor High School,8695 Windsor Rd,Windsor,CA,95492,Santa Rosa,CA
265,Windsor,44,Cardinal Newman,117,L,3/23,3:00p,Cardinal Newman High School,8695 Windsor Rd,Windsor,CA,95492,Santa Rosa,CA
266,Windsor,34,Montgomery,132,L,3/27,2:00p,Montgomery High School,8695 Windsor Rd,Windsor,CA,95492,Santa Rosa,CA
267,Windsor,75,Rancho Cotate,92,L,3/29,3:00p,Rancho Cotate High School,8695 Windsor Rd,Windsor,CA,95492,Rohnert Park,CA
268,Windsor,64,Casa Grande,93,L,4/17,3:00p,Casa Grande High School,8695 Windsor Rd,Windsor,CA,95492,Petaluma,CA
269,Windsor,50,Maria Carrillo,103,L,4/24,2:00p,Maria Carrillo High School,8695 Windsor Rd,Windsor,CA,95492,Santa Rosa,CA
270,Yosemite,0,San Joaquin Memorial,0,T,2/27,4:00p,Yosemite High School,50200 Rd 427,Oakhurst,CA,93644,Fresno,CA
271,Yosemite,0,Hoover,0,T,3/13,4:00p,Hoover High School,50200 Rd 427,Oakhurst,CA,93644,Fresno,CA
272,Yosemite,0,Reedley,0,T,3/15,4:00p,Yosemite High School,50200 Rd 427,Oakhurst,CA,93644,Reedley,CA
273,Yosemite,0,Dos Palos,1,L,4/5,4:00p,Yosemite High School,50200 Rd 427,Oakhurst,CA,93644,Dos Palos,CA
274,Yosemite,0,Clovis West,0,T,4/7,8:00a,Clovis West High School,50200 Rd 427,Oakhurst,CA,93644,Fresno,CA
275,Yosemite,83,Firebaugh,27,W,4/12,4:00p,Yosemite High School,50200 Rd 427,Oakhurst,CA,93644,Firebaugh,CA
276,Yosemite,0,Kerman,1,L,4/19,4:00p,Kerman High School,50200 Rd 427,Oakhurst,CA,93644,Kerman,CA
277,Yosemite,1,Sierra,0,W,4/24,4:00p,Yosemite High School,50200 Rd 427,Oakhurst,CA,93644,Tollhouse,CA
